epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.40979,0.60568,0.99694,1,0.03073,0.000368342,0.000368342,0.000368342
2,11.1758,0.07137,1,1,0.00444,0.000702111,0.000702111,0.000702111
3,15.7839,0.04286,0.99388,1,0.01107,0.000999217,0.000999217,0.000999217
4,19.998,0.04661,0.99694,1,0.00794,0.000946016,0.000946016,0.000946016
5,24.2808,0.03252,1,1,0.00028,0.000891022,0.000891022,0.000891022
6,28.5553,0.02346,1,1,0.00055,0.000836027,0.000836027,0.000836027
7,32.8284,0.01761,1,1,0.00102,0.000781033,0.000781033,0.000781033
8,37.0776,0.02213,0.99694,1,0.00561,0.000726038,0.000726038,0.000726038
9,41.3211,0.01167,1,1,0.00101,0.000671044,0.000671044,0.000671044
10,45.5772,0.00669,1,1,0.00207,0.000616049,0.000616049,0.000616049
11,70.0817,0.0052,1,1,0.00074,0.000561055,0.000561055,0.000561055
12,74.3639,0.0031,1,1,0.00223,0.00050606,0.00050606,0.00050606
13,78.7249,0.00259,1,1,0.00029,0.000451066,0.000451066,0.000451066
14,83.0178,0.00356,0.99694,1,0.00261,0.000396071,0.000396071,0.000396071
15,86.6689,0.003,1,1,0.00068,0.000341077,0.000341077,0.000341077
16,89.3917,0.00388,0.99694,1,0.00591,0.000286083,0.000286083,0.000286083
17,92.3246,0.00309,1,1,0.00171,0.000231088,0.000231088,0.000231088
18,95.3012,0.00279,1,1,0.00025,0.000176094,0.000176094,0.000176094
19,98.345,0.00155,1,1,0.00063,0.000121099,0.000121099,0.000121099
20,101.139,0.00185,1,1,0.0013,6.61045e-05,6.61045e-05,6.61045e-05
