epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.04707,0.60378,0.99104,1,0.04172,0.000368363,0.000368363,0.000368363
2,7.75408,0.08912,0.99403,1,0.03218,0.00071432,0.00071432,0.00071432
3,12.0362,0.0623,0.99104,1,0.03087,0.00103583,0.00103583,0.00103583
4,16.3543,0.06171,0.99701,1,0.01263,0.00100101,0.00100101,0.00100101
5,20.9002,0.03751,1,1,0.00329,0.000964348,0.000964348,0.000964348
6,25.1891,0.0303,0.99403,1,0.01819,0.000927685,0.000927685,0.000927685
7,29.4115,0.02797,0.99701,1,0.00682,0.000891022,0.000891022,0.000891022
8,33.5578,0.01143,1,1,0.00417,0.000854359,0.000854359,0.000854359
9,37.8192,0.01942,1,1,0.00213,0.000817696,0.000817696,0.000817696
10,41.9529,0.00954,1,1,0.00098,0.000781033,0.000781033,0.000781033
11,46.0795,0.01432,1,1,0.00457,0.00074437,0.00074437,0.00074437
12,50.2347,0.01135,0.99701,1,0.00492,0.000707707,0.000707707,0.000707707
13,54.4705,0.02228,0.99701,1,0.00565,0.000671044,0.000671044,0.000671044
14,58.7742,0.01321,1,1,0.0037,0.000634381,0.000634381,0.000634381
15,62.906,0.01245,1,1,0.00518,0.000597718,0.000597718,0.000597718
16,67.2584,0.00904,1,1,0.00353,0.000561055,0.000561055,0.000561055
17,71.4477,0.00842,1,1,0.00124,0.000524392,0.000524392,0.000524392
18,75.4039,0.00824,1,1,0.00325,0.000487729,0.000487729,0.000487729
19,78.7929,0.00469,1,1,0.0012,0.000451066,0.000451066,0.000451066
20,82.0553,0.01256,1,1,0.00046,0.000414403,0.000414403,0.000414403
21,103.851,0.00394,1,1,0.00041,0.00037774,0.00037774,0.00037774
22,106.592,0.00293,1,1,0.00058,0.000341077,0.000341077,0.000341077
23,109.453,0.00257,1,1,0.00028,0.000304414,0.000304414,0.000304414
24,112.163,0.00279,1,1,0.00033,0.000267751,0.000267751,0.000267751
25,115.043,0.00277,1,1,0.00031,0.000231088,0.000231088,0.000231088
26,117.663,0.00259,1,1,0.00023,0.000194425,0.000194425,0.000194425
27,120.364,0.00211,1,1,0.00042,0.000157762,0.000157762,0.000157762
28,123.065,0.00221,1,1,0.00033,0.000121099,0.000121099,0.000121099
29,125.875,0.00309,1,1,0.00049,8.4436e-05,8.4436e-05,8.4436e-05
30,128.558,0.00159,1,1,0.00039,4.7773e-05,4.7773e-05,4.7773e-05
