epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7478,2.18802,2.13678,1.77566,0.20385,0.36118,0.21742,0.08554,2.43806,4.12857,1.76033,0.000658009,0.000658009,0.000658009
2,25.5838,1.84975,1.54633,1.56821,0.41018,0.58333,0.44707,0.19313,1.78896,2.65805,1.66706,0.00129845,0.00129845,0.00129845
3,37.1877,1.78366,1.48132,1.52847,0.60433,0.67442,0.63926,0.28404,1.70379,2.49256,1.55757,0.00191248,0.00191248,0.00191248
4,48.5835,1.7137,1.4015,1.50981,0.57296,0.59228,0.59335,0.29084,1.70004,3.07148,1.61548,0.0018812,0.0018812,0.0018812
5,58.9006,1.69113,1.3688,1.48916,0.70304,0.69531,0.72175,0.36788,1.65515,1.55341,1.56412,0.0018416,0.0018416,0.0018416
6,69.2733,1.65126,1.29078,1.45551,0.70342,0.62788,0.69386,0.37875,1.61175,3.60094,1.51031,0.001802,0.001802,0.001802
7,79.182,1.59371,1.26156,1.43472,0.77562,0.68062,0.76197,0.42198,1.46375,1.45488,1.46379,0.0017624,0.0017624,0.0017624
8,89.2272,1.55896,1.18503,1.41876,0.77115,0.71877,0.76331,0.40059,1.62084,2.45035,1.51675,0.0017228,0.0017228,0.0017228
9,99.3715,1.50908,1.1175,1.38815,0.77833,0.7144,0.76973,0.40276,1.64243,1.67607,1.51065,0.0016832,0.0016832,0.0016832
10,109.19,1.49629,1.1005,1.37873,0.82188,0.74244,0.80447,0.4708,1.48533,1.33283,1.44796,0.0016436,0.0016436,0.0016436
11,119.27,1.46623,1.03958,1.34913,0.82078,0.72494,0.80651,0.45225,1.60719,1.20544,1.52939,0.001604,0.001604,0.001604
12,129.426,1.41927,1.01876,1.32381,0.85757,0.74204,0.82672,0.51265,1.45541,1.02591,1.40134,0.0015644,0.0015644,0.0015644
13,139.353,1.41205,1.00649,1.32836,0.86462,0.7799,0.85628,0.57739,1.22359,1.12543,1.27409,0.0015248,0.0015248,0.0015248
14,150.592,1.34644,0.93609,1.28247,0.86495,0.76889,0.85722,0.57229,1.21001,0.94338,1.27518,0.0014852,0.0014852,0.0014852
15,161.788,1.34198,0.92197,1.27252,0.85446,0.77768,0.83903,0.53572,1.33803,1.15132,1.33386,0.0014456,0.0014456,0.0014456
16,173.171,1.32701,0.91687,1.2757,0.88105,0.81464,0.87114,0.61839,1.12308,0.82657,1.2028,0.001406,0.001406,0.001406
17,184.431,1.2932,0.87786,1.25172,0.87332,0.8039,0.86646,0.58874,1.23968,0.97617,1.25708,0.0013664,0.0013664,0.0013664
18,195.71,1.29029,0.86998,1.24396,0.86786,0.81921,0.87036,0.56235,1.30996,0.89397,1.30461,0.0013268,0.0013268,0.0013268
19,207.025,1.26022,0.85359,1.23644,0.89108,0.80215,0.87447,0.57561,1.23742,0.82107,1.26623,0.0012872,0.0012872,0.0012872
20,218.122,1.25412,0.84359,1.23262,0.89342,0.80867,0.88041,0.59693,1.18489,0.77,1.22676,0.0012476,0.0012476,0.0012476
21,227.874,1.22236,0.84168,1.21775,0.86752,0.79833,0.86461,0.55139,1.28848,1.01001,1.28773,0.001208,0.001208,0.001208
22,237.894,1.20788,0.82501,1.2058,0.89883,0.82637,0.8853,0.6368,1.0768,0.79726,1.18295,0.0011684,0.0011684,0.0011684
23,247.694,1.18659,0.8018,1.19634,0.89775,0.82876,0.88708,0.64391,1.07126,0.76081,1.16781,0.0011288,0.0011288,0.0011288
24,257.585,1.18901,0.79546,1.19502,0.90657,0.8395,0.89512,0.65566,0.99898,0.72144,1.14191,0.0010892,0.0010892,0.0010892
25,267.538,1.15136,0.76617,1.17183,0.91599,0.83691,0.90138,0.66034,0.99648,0.69271,1.1359,0.0010496,0.0010496,0.0010496
26,277.588,1.18034,0.7904,1.19238,0.90271,0.847,0.90052,0.65624,1.02533,0.72867,1.15077,0.00101,0.00101,0.00101
27,287.339,1.14115,0.76887,1.17497,0.90494,0.83015,0.89296,0.6631,0.99434,0.71898,1.14341,0.0009704,0.0009704,0.0009704
28,297.424,1.1299,0.74624,1.16153,0.9081,0.84089,0.90014,0.65019,1.0509,0.69336,1.15746,0.0009308,0.0009308,0.0009308
29,307.211,1.13253,0.74683,1.16679,0.89614,0.8306,0.89257,0.61543,1.16422,0.77858,1.21633,0.0008912,0.0008912,0.0008912
30,317.296,1.10782,0.72491,1.14088,0.91488,0.8401,0.90425,0.65479,1.0363,0.67844,1.16042,0.0008516,0.0008516,0.0008516
31,327.473,1.11451,0.72791,1.1538,0.9075,0.85004,0.90092,0.623,1.16035,0.70198,1.21551,0.000812,0.000812,0.000812
32,337.569,1.1051,0.73541,1.14619,0.92558,0.84348,0.9099,0.69832,0.90519,0.61509,1.08465,0.0007724,0.0007724,0.0007724
33,347.578,1.08712,0.72928,1.14185,0.9124,0.85461,0.90977,0.68144,0.95843,0.61142,1.10528,0.0007328,0.0007328,0.0007328
34,357.419,1.06069,0.70647,1.13209,0.92024,0.85541,0.9121,0.68939,0.95821,0.5978,1.11376,0.0006932,0.0006932,0.0006932
35,367.438,1.06469,0.71053,1.12805,0.92811,0.84986,0.9141,0.70686,0.87015,0.57975,1.05901,0.0006536,0.0006536,0.0006536
36,377.57,1.07059,0.70048,1.12426,0.91601,0.84686,0.9067,0.68858,0.89408,0.65893,1.07396,0.000614,0.000614,0.000614
